eta0,delta,eta_eval_minus,eta_eval_plus,CI_minus,CI_plus,source_parameter_eta,source_parameter_file_or_seed,source_parameter_file,source_seed,nominal_stored_CI,ns_minus,np_minus,ns_plus,np_plus
0.30,0.01,0.29,0.31,0.95917705746943138,1.0444551190068467,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.02,0.28,0.32,0.90800783374970973,1.0747995862947164,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.03,0.27,0.33,0.85314207050170365,1.0939025591697682,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.04,0.26,0.34,0.79577376424028579,1.1004265731656084,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.05,0.25,0.35,0.73688370820493532,1.0956606638697872,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.06,0.24,0.36,0.67723610205758789,1.0819894326432902,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.07,0.23,0.37,0.617366807517576,1.0616339674288429,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.08,0.22,0.38,0.55757304638644856,1.0364854329645037,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.09,0.21,0.39,0.49791117896590587,1.0081433153823234,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
0.30,0.10,0.20,0.40,0.43820582734076829,0.9779890775886293,0.30,Data_HPC/84/eta=0.30/parameters_best_feasible.npy; seed_159,Data_HPC/84/eta=0.30/parameters_best_feasible.npy,seed_159,1.0045794126022622,2.0042144531493249,2.0111344435608953,2.0042144531493249,2.0111344435608953
